game_id,home,away
0022200822,DET,CLE
0022200823,CHA,WAS
0022200824,PHI,BOS
0022200825,IND,MIA
0022200826,SAS,TOR
0022200827,SAC,HOU
0022200828,MIN,UTA
0022200829,DAL,LAC
0022200830,GSW,POR
0022200831,DEN,ORL
0022200832,PHX,ATL
0022200833,CHI,BKN
0022200834,MIL,LAL
0022200835,SAS,DET
0022200836,PHX,IND
0022200837,NYK,PHI
0022200838,CHA,BOS
0022200839,UTA,TOR
0022200840,HOU,MIA
0022200841,MIN,MEM
0022200842,CLE,NOP
0022200843,OKC,POR
0022200844,DAL,SAC
0022200845,MIL,LAC
0022200846,PHI,BKN
0022200847,DEN,CHA
0022200848,MIA,ORL
0022200849,IND,WAS
0022200850,SAS,ATL
0022200851,UTA,NYK
0022200852,CHI,CLE
0022200853,LAL,GSW
0022200854,DAL,SAC
0022200855,MEM,BOS
0022200856,DET,TOR
0022200857,ATL,CHA
0022200858,SAS,CLE
0022200859,UTA,IND
0022200860,HOU,PHI
0022200861,DEN,MIA
0022200862,BKN,NYK
0022200863,ORL,CHI
0022200864,NOP,OKC
0022200865,MIN,DAL
0022200866,WAS,GSW
0022200867,LAL,POR
0022200868,ORL,TOR
0022200869,BOS,MIL
0022200870,SAC,PHX
0022200871,GSW,LAC
0022200872,WAS,POR
0022200873,SAS,CHA
0022200874,CHI,IND
0022200875,CLE,PHI
0022200876,NYK,ATL
0022200877,DET,BOS
0022200878,MIA,BKN
0022200879,UTA,MEM
0022200880,HOU,OKC
0022200881,DAL,DEN
0022200882,NOP,LAL
0022200883,MIL,CHI
0022200884,WAS,MIN
0022200885,LAC,PHX
0022200886,DEN,CLE
0022200887,BOS,IND
0022200888,DET,ORL
0022200889,MEM,PHI
0022200890,NOP,TOR
0022200891,SAS,DAL
0022200892,OKC,UTA
0022200893,GSW,LAL
0022200894,POR,SAC
0022200895,NYK,WAS
0022200896,CLE,ATL
0022200897,MIA,MIL
0022200898,CHA,MIN
0022200899,OKC,PHX
0022200900,BKN,CHI
0022200901,HOU,GSW
0022200902,SAC,LAC
0022200903,TOR,DET
0022200904,MIA,CHA
0022200905,IND,ORL
0022200906,NOP,NYK
0022200907,DEN,MEM
0022200908,BOS,PHI
0022200909,SAS,UTA
0022200910,PHX,MIL
0022200911,BKN,ATL
0022200912,WAS,CHI
